0 True value: 2.575 ; calculated value: 2.49; error: -3.305% 
1 True value: 3.932 ; calculated value: 3.671; error: -6.62% 
2 True value: 4.569 ; calculated value: 4.393; error: -3.844% 
3 True value: 2.663 ; calculated value: nan; err or: nan% 
4 True value: 3.689 ; calculated value: 3.537; error: -4.105% 
5 True value: 3.365 ; calculated value: 3.232; error: -3.951% 
6 True value: 4.116 ; calculated value: 3.913; error: -4.937% 
7 True value: 4.051 ; calculated value: 3.883; error: -4.156% 
8 True value: 4.407 ; calculated value: 4.199; error: -4.707% 
9 True value: 3.453 ; calculated value: 3.328; error: -3.626% 
10 True value: 2.487 ; calculated value: 2.378; error: -4.365% 
11 True value: 3.516 ; calculated value: 3.363; error: -4.341% 
12 True value: 5.345 ; calculated value: 4.936; error: -7.65% 
13 True value: 3.487 ; calculated value: 3.368; error: -3.414% 
14 True value: 3.749 ; calculated value: 3.615; error: -3.584% 
15 True value: 3.013 ; calculated value: 2.878; error: -4.502% 
16 True value: 2.717 ; calculated value: 2.642; error: -2.787% 
17 True value: 3.636 ; calculated value: 3.477; error: -4.369% 
18 True value: 4.288 ; calculated value: 4.116; error: -4.007% 
19 True value: 2.508 ; calculated value: 2.418; error: -3.599% 
21 True value: 4.135 ; calculated value: 3.962; error: -4.192% 
22 True value: 2.884 ; calculated value: 2.78; error: -3.608% 
23 True value: 3.359 ; calculated value: 3.257; error: -3.044% 
24 True value: 5.124 ; calculated value: 4.881; error: -4.752% 
25 True value: 2.353 ; calculated value: 2.277; error: -3.201% 
26 True value: 5.252 ; calculated value: 4.937; error: -5.987% 
27 True value: 3.054 ; calculated value: 2.934; error: -3.953% 
28 True value: 4.459 ; calculated value: 4.241; error: -4.888% 
29 True value: 3.521 ; calculated value: 3.382; error: -3.94% 
30 True value: 4.232 ; calculated value: 4.07; error: -3.818% 
31 True value: 2.466 ; calculated value: 2.4; error: -2.703% 
32 True value: 4.054 ; calculated value: nan; erro r: nan% 
33 True value: 2.761 ; calculated value: 2.638; error: -4.46% 
34 True value: 3.56 ; calculated value: 3.415; error: -4.07% 
35 True value: 4.627 ; calculated value: 4.457; error: -3.687% 
36 True value: 3.589 ; calculated value: 3.393; error: -5.448% 
37 True value: 3.42 ; calculated value: 3.231; error: -5.52% 
38 True value: 4.007 ; calculated value: 3.813; error: -4.856% 
39 True value: 3.47 ; calculated value: 3.354; error: -3.341% 
40 True value: 4.72 ; calculated value: 4.497; error: -4.726% 
41 True value: 3.524 ; calculated value: 3.42; error: -2.961% 
42 True value: 3.122 ; calculated value: 3.001; error: -3.893% 
43 True value: 3.734 ; calculated value: 3.588; error: -3.893% 
44 True value: 3.56 ; calculated value: 3.461; error: -2.779% 
45 True value: 2.879 ; calculated value: 2.789; error: -3.132% 
46 True value: 4.831 ; calculated value: 4.615; error: -4.473% 
47 True value: 3.884 ; calculated value: 3.7; error: -4.732% 
48 True value: 3.267 ; calculated value: nan; err or: nan% 
49 True value: 3.672 ; calculated value: 3.545; error: -3.474% 
50 True value: 3.445 ; calculated value: 3.315; error: -3.775% 
51 True value: 2.442 ; calculated value: 2.378; error: -2.634% 
52 True value: 4.651 ; calculated value: 4.391; error: -5.577% 
53 True value: 3.279 ; calculated value: 3.11; error: -5.137% 
54 True value: 2.456 ; calculated value: 2.375; error: -3.288% 
55 True value: 4.005 ; calculated value: 3.837; error: -4.195% 
56 True value: 3.04 ; calculated value: 2.947; error: -3.063% 
57 True value: 3.97 ; calculated value: 3.854; error: -2.922% 
58 True value: 3.193 ; calculated value: 3.104; error: -2.804% 
59 True value: 2.433 ; calculated value: 2.338; error: -3.885% 
60 True value: 3.828 ; calculated value: 3.636; error: -5.004% 
61 True value: 3.795 ; calculated value: 3.638; error: -4.144% 
62 True value: 4.41 ; calculated value: 4.128; error: -6.388% 
63 True value: 4.056 ; calculated value: 3.924; error: -3.252% 
64 True value: 4.383 ; calculated value: 4.215; error: -3.833% 
65 True value: 4.645 ; calculated value: 4.424; error: -4.755% 
66 True value: 3.213 ; calculated value: 3.081; error: -4.109% 
67 True value: 3.174 ; calculated value: 3.043; error: -4.129% 
68 True value: 3.392 ; calculated value: 3.26; error: -3.868% 
69 True value: 2.932 ; calculated value: 2.832; error: -3.428% 
70 True value: 2.845 ; calculated value: 2.747; error: -3.453% 
71 True value: 5.822 ; calculated value: 5.491; error: -5.68% 
72 True value: 3.278 ; calculated value: 3.169; error: -3.31% 
73 True value: 2.964 ; calculated value: 2.849; error: -3.855% 
74 True value: 2.807 ; calculated value: 2.741; error: -2.324% 
75 True value: 5.062 ; calculated value: 4.838; error: -4.437% 
76 True value: 2.293 ; calculated value: 2.229; error: -2.773% 
77 True value: 3.94 ; calculated value: 3.756; error: -4.689% 
78 True value: 3.928 ; calculated value: 3.794; error: -3.413% 
79 True value: 4.554 ; calculated value: 4.36; error: -4.257% 
80 True value: 3.211 ; calculated value: 3.114; error: -3.025% 
81 True value: 2.805 ; calculated value: 2.715; error: -3.218% 
82 True value: 3.539 ; calculated value: 3.399; error: -3.951% 
83 True value: 2.62 ; calculated value: 2.561; error: -2.254% 
84 True value: 2.616 ; calculated value: 2.525; error: -3.457% 
85 True value: 2.624 ; calculated value: 2.541; error: -3.177% 
86 True value: 3.665 ; calculated value: 3.535; error: -3.536% 
87 True value: 3.542 ; calculated value: 3.407; error: -3.805% 
88 True value: 2.32 ; calculated value: 2.261; error: -2.533% 
89 True value: 3.127 ; calculated value: 2.928; error: -6.345% 
